IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"2501, Rudolf-Mößbauer-Hörsaal (5101.EG.501) ",14.04.2023,16:15  ,16:45
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",14.04.2023,13:30  ,14:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",14.04.2023,14:15  ,16:15
IN0001,Einführung in die Informatik ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"004, Hörsaal 1 ""Interims II"" (5416.01.004) ",14.04.2023,16:15  ,16:45
IN0031,Einführung in die Informatik für Games Engineering ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,16.02.2023,13:30  ,14:15
IN0031,Einführung in die Informatik für Games Engineering ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,16.02.2023,14:15  ,15:45
IN0031,Einführung in die Informatik für Games Engineering ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,16.02.2023,15:45  ,16:15
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,24.02.2023,16:15  ,17:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,24.02.2023,17:00  ,19:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,MW 2001 Rudolf-Diesel-Hörsaal (5510.02.001) ,24.02.2023,19:00  ,19:30
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Aufbau u. Vorbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",24.02.2023,16:15  ,17:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Prüfungstermin,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",24.02.2023,17:00  ,19:00
IN2064,Maschinelles Lernen ,Fakultät für Informatik ,Nachbereitung,Modulprüfung,fix,"MW 0001, Gustav-Niemann-Hörsaal (5510.EG.001) ",24.02.2023,19:00  ,19:30
